x-axis,1,2,3
second,Volt,Volt,Volt
-46.70000E-03,-10.46482E-03,+86.43216276E+00,+1.00502513E+00
-46.65000E-03,-11.97236E-03,+83.41708732E+00,+703.51759E-03
-46.60000E-03,-9.96231E-03,+84.92462504E+00,+904.52262E-03
-46.55000E-03,-13.47990E-03,+86.43216276E+00,+804.02011E-03
-46.50000E-03,-8.95728E-03,+86.43216276E+00,+402.01005E-03
-46.45000E-03,-14.98743E-03,+84.42211246E+00,+1.50753770E+00
-46.40000E-03,-9.96231E-03,+86.43216276E+00,+904.52262E-03
-46.35000E-03,-11.46984E-03,+85.42713761E+00,+804.02011E-03
-46.30000E-03,-12.47487E-03,+86.43216276E+00,+1.20603016E+00
-46.25000E-03,-11.46984E-03,+87.93970048E+00,+1.20603016E+00
-46.20000E-03,-11.46984E-03,+84.92462504E+00,+1.30653267E+00
-46.15000E-03,-11.97236E-03,+85.42713761E+00,+1.20603016E+00
-46.10000E-03,-12.47487E-03,+84.92462504E+00,+804.02011E-03
-46.05000E-03,-11.46984E-03,+86.43216276E+00,+1.20603016E+00
-46.00000E-03,-11.97236E-03,+86.43216276E+00,+1.30653267E+00
-45.95000E-03,-13.98241E-03,+85.92965019E+00,+1.20603016E+00
-45.90000E-03,-10.46482E-03,+84.92462504E+00,+1.50753770E+00
-45.85000E-03,-12.47487E-03,+84.92462504E+00,+1.50753770E+00
-45.80000E-03,-11.97236E-03,+84.92462504E+00,+1.60804021E+00
-45.75000E-03,-12.97738E-03,+84.42211246E+00,+1.50753770E+00
-45.70000E-03,-12.97738E-03,+84.42211246E+00,+1.40703519E+00
-45.65000E-03,-10.46482E-03,+86.43216276E+00,+1.60804021E+00
-45.60000E-03,-11.46984E-03,+86.43216276E+00,+1.30653267E+00
-45.55000E-03,-9.96231E-03,+86.43216276E+00,+2.01005027E+00
-45.50000E-03,-10.96733E-03,+86.43216276E+00,+1.60804021E+00
-45.45000E-03,-11.46984E-03,+84.92462504E+00,+1.60804021E+00
-45.40000E-03,-11.46984E-03,+86.93467534E+00,+1.60804021E+00
-45.35000E-03,-11.97236E-03,+87.43718791E+00,+1.70854273E+00
-45.30000E-03,-11.97236E-03,+84.92462504E+00,+1.90954775E+00
-45.25000E-03,-9.96231E-03,+86.43216276E+00,+1.60804021E+00
-45.20000E-03,-10.96733E-03,+84.42211246E+00,+2.21105529E+00
-45.15000E-03,-10.46482E-03,+84.92462504E+00,+1.70854273E+00
-45.10000E-03,-9.45979E-03,+85.92965019E+00,+1.60804021E+00
-45.05000E-03,-12.47487E-03,+85.92965019E+00,+2.11055278E+00
-45.00000E-03,-12.97738E-03,+85.92965019E+00,+1.80904524E+00
-44.95000E-03,-10.96733E-03,+84.92462504E+00,+1.90954775E+00
-44.90000E-03,-12.97738E-03,+84.92462504E+00,+2.01005027E+00
-44.85000E-03,-11.46984E-03,+84.92462504E+00,+2.01005027E+00
-44.80000E-03,-10.46482E-03,+86.43216276E+00,+2.11055278E+00
-44.75000E-03,-12.47487E-03,+85.92965019E+00,+2.11055278E+00
-44.70000E-03,-11.46984E-03,+84.92462504E+00,+2.41206032E+00
-44.65000E-03,-10.46482E-03,+85.92965019E+00,+2.41206032E+00
-44.60000E-03,-14.98743E-03,+86.43216276E+00,+2.21105529E+00
-44.55000E-03,-11.97236E-03,+84.92462504E+00,+2.41206032E+00
-44.50000E-03,-12.47487E-03,+86.43216276E+00,+2.71356786E+00
-44.45000E-03,-11.97236E-03,+86.43216276E+00,+2.11055278E+00
-44.40000E-03,-13.98241E-03,+86.43216276E+00,+2.41206032E+00
-44.35000E-03,-10.96733E-03,+84.92462504E+00,+2.51256283E+00
-44.30000E-03,-10.96733E-03,+84.42211246E+00,+3.11557791E+00
-44.25000E-03,-10.96733E-03,+86.43216276E+00,+2.51256283E+00
-44.20000E-03,-11.97236E-03,+84.42211246E+00,+2.71356786E+00
-44.15000E-03,-9.45979E-03,+86.93467534E+00,+2.41206032E+00
-44.10000E-03,-13.47990E-03,+84.42211246E+00,+2.81407037E+00
-44.05000E-03,-11.46984E-03,+86.43216276E+00,+2.41206032E+00
-44.00000E-03,-11.97236E-03,+84.42211246E+00,+2.81407037E+00
-43.95000E-03,-14.98743E-03,+85.92965019E+00,+2.71356786E+00
-43.90000E-03,-13.47990E-03,+86.43216276E+00,+2.91457289E+00
-43.85000E-03,-11.97236E-03,+84.92462504E+00,+3.01507540E+00
-43.80000E-03,-11.46984E-03,+85.92965019E+00,+2.91457289E+00
-43.75000E-03,-12.97738E-03,+84.92462504E+00,+2.91457289E+00
-43.70000E-03,-10.46482E-03,+85.92965019E+00,+3.11557791E+00
-43.65000E-03,-12.47487E-03,+84.42211246E+00,+3.11557791E+00
-43.60000E-03,-13.98241E-03,+85.92965019E+00,+3.41708545E+00
-43.55000E-03,-13.47990E-03,+84.42211246E+00,+2.81407037E+00
