948	40.869
948.25	39.328
948.5	37.092
948.75	41.596
949	37.19
949.25	40.631
949.5	42.164
949.75	38.751
950	42.918
950.25	42.538
950.5	41.166
950.75	41.869
951	43.154
951.25	39.801
951.5	41.939
951.555	35.473
951.575	36.259
951.595	35.628
951.615	35.936
951.635	38.847
951.655	42.399
951.675	41.94
951.695	39.732
951.715	39.335
951.735	40.324
951.75	39.944
951.755	39.137
951.775	36.413
951.795	37.229
951.815	40.262
951.835	41.147
951.855	38.166
952	41.049
952.25	38.256
952.5	39.954
952.75	41.731
953	36.363
953.25	41.979
953.5	40.974
953.75	37.679
954	41.648
954.25	41.014
954.5	37.035
954.75	41.283
955	39.241
955.25	37.051
955.5	39.046
955.75	37.821
956	38.436
