950.17	5.789
950.27	5.48
950.37	5.796
950.47	5.64
950.57	6.101
950.67	5.838
950.77	6.221
950.87	5.485
950.97	5.566
951.07	5.682
951.17	5.466
951.27	4.365
951.37	3.126
951.47	3.325
951.52	3.963
951.535	4.297
951.55	4.867
951.565	5.185
951.57	5.606
951.58	6.077
951.595	6.517
951.61	6.394
951.625	7.95
951.64	7.72
951.655	8.279
951.67	7.383
951.67	7.744
951.685	6.873
951.7	5.929
951.715	6.008
951.73	5.309
951.745	5.259
951.76	4.62
951.77	4.547
951.775	4.317
951.79	4.315
951.805	4.565
951.82	5.224
951.87	5.081
951.97	6.652
952.07	6.575
952.17	7.486
952.27	7.353
952.37	8.776
952.47	9.134
952.57	11.884
952.67	11.887
952.77	11.658
952.87	11.861
952.97	13.314
953.07	13.372
953.17	12.063
